,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
114,7.3,2.9,6.3,1.8,2
115,6.4,3.2,5.3,2.3,2
116,6.1,2.6,5.6,1.4,2
117,4.9,2.5,4.5,1.7,2
118,6.3,2.8,5.1,1.5,2
119,7.6,3.0,6.6,2.1,2
120,7.1,3.0,5.9,2.1,2
121,6.3,2.9,5.6,1.8,2
122,6.5,3.0,5.8,2.2,2
123,7.7,3.8,6.7,2.2,2
124,5.8,2.7,5.1,1.9,2
125,6.4,2.8,5.6,2.2,2
126,6.9,3.2,5.7,2.3,2
127,7.4,2.8,6.1,1.9,2
128,7.2,3.0,5.8,1.6,2
129,6.4,2.8,5.6,2.1,2
130,6.1,3.0,4.9,1.8,2
131,6.5,3.0,5.5,1.8,2
132,6.2,2.8,4.8,1.8,2
133,6.3,2.7,4.9,1.8,2
134,7.7,2.8,6.7,2.0,2
135,5.6,2.8,4.9,2.0,2
136,5.8,2.8,5.1,2.4,2
137,6.0,2.2,5.0,1.5,2
138,7.7,2.6,6.9,2.3,2
139,7.9,3.8,6.4,2.0,2
140,6.7,2.5,5.8,1.8,2
141,6.2,3.4,5.4,2.3,2
142,6.5,3.2,5.1,2.0,2
143,6.7,3.3,5.7,2.1,2
144,5.4,3.9,1.3,0.4,2
145,6.3,3.4,5.6,2.4,2
146,6.4,3.1,5.5,1.8,2
147,6.0,3.0,4.8,1.8,2
148,6.7,3.1,5.6,2.4,2
149,6.9,3.1,5.1,2.3,2
150,5.8,2.7,5.1,1.9,2
151,6.8,3.2,5.9,2.3,2
152,6.7,3.3,5.7,2.5,2
153,6.3,2.5,5.0,1.9,2
154,6.3,2.7,4.9,1.8,2
155,6.5,3.0,5.2,2.0,2
156,6.2,3.4,5.4,2.3,2
157,5.9,3.0,5.1,1.8,2
158,6.4,2.8,5.6,2.2,2
159,7.7,3.8,6.7,2.2,2
160,5.8,2.8,5.1,,2
161,6.7,3.0,5.2,2.3,2
162,7.7,3.0,6.1,2.3,2
163,7.2,3.2,6.0,1.8,2
164,6.3,2.8,5.1,1.5,2
165,5.7,2.5,5.0,2.0,2
166,6.8,3.0,5.5,2.1,2
167,6.4,2.7,5.3,1.9,2
168,7.2,3.6,6.1,2.5,2
169,6.3,3.3,6.0,2.5,2
